order_id,coffee_type,milk_type,cost,time,server_name
1,Latte,Almond,4.4,2025-01-13T18:15:14.575164Z,Alice
2,Cortado,Almond,4.91,2024-12-01T02:17:14.575164Z,Charlie
3,Americano,Almond,3.25,2024-11-12T00:48:14.575164Z,Charlie
4,Americano,Regular,2.69,2025-01-13T20:53:14.575164Z,Alice
5,Latte,Almond,4.27,2024-12-08T07:02:14.575164Z,Alice
6,Americano,Almond,3.12,2025-01-12T14:39:14.575164Z,Bob
7,Cortado,Oat,3.91,2025-01-20T14:36:14.575164Z,Dana
8,Americano,Oat,3.4,2024-12-01T07:51:14.575164Z,Charlie
9,Latte,Oat,5.27,2024-12-27T05:37:14.575164Z,Charlie
10,Americano,Oat,3.69,2024-12-23T21:54:14.575164Z,Dana
11,Latte,Almond,4.54,2024-11-29T21:02:14.575164Z,Alice
12,Latte,Almond,5.02,2025-01-13T21:00:14.575164Z,Charlie
13,Latte,Almond,4.36,2024-12-10T16:37:14.575164Z,Alice
14,Latte,Almond,5.39,2024-11-24T18:34:14.575164Z,Bob
15,Cortado,Almond,3.61,2024-11-13T02:21:14.575164Z,Charlie
16,Americano,Oat,3.19,2024-12-08T03:44:14.575164Z,Dana
17,Latte,Regular,4.77,2025-01-05T10:40:14.575164Z,Dana
18,Latte,Regular,5.47,2024-12-19T14:23:14.575164Z,Bob
19,Americano,Almond,2.9,2024-12-23T05:24:14.575164Z,Alice
20,Cortado,Oat,4.44,2024-12-09T00:55:14.575164Z,Alice
21,Americano,Regular,3.27,2025-01-24T02:28:14.575164Z,Charlie
22,Americano,Almond,2.6,2024-10-28T12:59:14.575164Z,Bob
23,Americano,Oat,3.08,2024-12-26T05:35:14.575164Z,Bob
24,Cortado,Regular,4.84,2025-01-08T10:18:14.575164Z,Bob
25,Latte,Almond,5.23,2024-11-01T02:22:14.575164Z,Dana
26,Latte,Almond,4.85,2024-12-02T06:02:14.575164Z,Dana
27,Latte,Almond,5.12,2025-01-24T12:59:14.575164Z,Charlie
28,Americano,Regular,3.44,2025-01-04T21:23:14.575164Z,Alice
29,Cortado,Oat,4.83,2024-11-16T19:27:14.575164Z,Bob
30,Americano,Oat,2.93,2025-01-11T19:58:14.575164Z,Dana
31,Americano,Regular,3.53,2024-12-06T16:32:14.575164Z,Alice
32,Americano,Oat,3.46,2024-11-18T09:28:14.575164Z,Charlie
33,Latte,Oat,4.34,2024-12-16T15:59:14.575164Z,Dana
34,Cortado,Almond,3.52,2025-01-12T09:53:14.575164Z,Alice
35,Cortado,Oat,4.32,2024-12-31T05:24:14.575164Z,Charlie
36,Cortado,Regular,3.83,2024-11-09T05:11:14.575164Z,Dana
37,Latte,Oat,4.67,2024-10-29T14:17:14.575164Z,Bob
38,Cortado,Regular,4.02,2024-12-25T18:17:14.575164Z,Bob
39,Cortado,Oat,4.54,2025-01-16T06:35:14.575164Z,Alice
40,Cortado,Almond,3.78,2024-11-17T09:40:14.575164Z,Dana
41,Americano,Oat,2.73,2024-11-06T04:10:14.575164Z,Charlie
42,Cortado,Oat,3.56,2024-11-26T11:36:14.575164Z,Dana
43,Americano,Almond,3.63,2024-12-29T13:25:14.575164Z,Bob
44,Cortado,Oat,3.96,2024-11-14T04:50:14.575164Z,Dana
45,Americano,Almond,3.76,2024-11-20T21:27:14.575164Z,Alice
46,Americano,Almond,3.03,2024-11-20T11:58:14.575164Z,Charlie
47,Americano,Regular,2.82,2024-11-08T09:57:14.575164Z,Alice
48,Americano,Almond,3.68,2024-12-09T23:10:14.575164Z,Dana
49,Latte,Regular,4.03,2025-01-17T06:50:14.575164Z,Charlie
50,Americano,Oat,3.27,2024-11-26T01:37:14.575164Z,Dana
51,Latte,Almond,4.32,2024-12-05T03:23:14.575164Z,Bob
52,Americano,Regular,3.46,2024-11-13T18:38:14.575164Z,Alice
53,Cortado,Regular,4.98,2025-01-02T15:27:14.575164Z,Alice
54,Cortado,Almond,3.86,2025-01-12T07:24:14.575164Z,Dana
55,Latte,Regular,4.23,2024-12-05T14:14:14.575164Z,Charlie
56,Cortado,Regular,3.76,2025-01-22T16:01:14.575164Z,Charlie
57,Latte,Oat,5.21,2024-12-19T04:58:14.575164Z,Alice
58,Latte,Oat,4.37,2024-11-07T01:19:14.575164Z,Alice
59,Latte,Oat,4.47,2024-10-27T19:04:14.575164Z,Charlie
60,Americano,Oat,2.56,2024-12-14T11:35:14.575164Z,Charlie
61,Cortado,Almond,4.5,2025-01-21T05:55:14.575164Z,Charlie
62,Americano,Almond,2.98,2024-12-03T03:00:14.575164Z,Alice
63,Latte,Oat,4.47,2024-12-22T20:42:14.575164Z,Bob
64,Cortado,Oat,4.2,2025-01-24T02:29:14.575164Z,Charlie
65,Cortado,Almond,3.98,2024-12-10T17:43:14.575164Z,Bob
66,Americano,Almond,3.92,2024-11-10T19:03:14.575164Z,Charlie
67,Latte,Almond,4.89,2024-12-08T19:46:14.575164Z,Charlie
68,Latte,Oat,4.6,2024-11-01T03:20:14.575164Z,Charlie
69,Cortado,Almond,3.54,2025-01-11T11:30:14.575164Z,Alice
70,Cortado,Oat,4.51,2025-01-21T09:20:14.575164Z,Alice
71,Cortado,Regular,4.81,2024-10-30T23:09:14.575164Z,Bob
72,Cortado,Almond,4.78,2024-11-08T10:22:14.575164Z,Alice
73,Cortado,Oat,4.72,2025-01-11T07:24:14.575164Z,Bob
74,Latte,Regular,4.68,2024-11-20T15:41:14.575164Z,Charlie
75,Latte,Regular,4.57,2024-12-26T20:07:14.575164Z,Dana
76,Cortado,Almond,3.95,2024-11-14T10:28:14.575164Z,Charlie
77,Latte,Almond,4.87,2025-01-01T09:52:14.575164Z,Bob
78,Americano,Oat,3.36,2024-12-28T22:19:14.575164Z,Dana
79,Cortado,Almond,4.44,2024-12-28T16:58:14.575164Z,Dana
80,Cortado,Oat,4.55,2024-11-05T17:28:14.575164Z,Dana
81,Cortado,Almond,4.13,2024-11-30T17:39:14.575164Z,Dana
82,Americano,Oat,3.62,2024-12-11T06:15:14.575164Z,Bob
83,Latte,Oat,4.43,2024-11-01T18:25:14.575164Z,Alice
84,Americano,Oat,2.86,2024-11-14T21:01:14.575164Z,Charlie
85,Cortado,Oat,4.66,2024-11-03T09:27:14.575164Z,Dana
86,Latte,Regular,4.79,2024-12-14T14:57:14.575164Z,Bob
87,Americano,Almond,3.3,2025-01-17T21:30:14.575164Z,Dana
88,Cortado,Oat,4.54,2024-12-17T14:45:14.575164Z,Charlie
89,Cortado,Regular,4.81,2024-11-18T02:05:14.575164Z,Bob
90,Cortado,Almond,4.66,2024-11-10T05:04:14.575164Z,Charlie
91,Cortado,Oat,4.0,2025-01-22T14:41:14.575164Z,Dana
92,Latte,Oat,5.1,2024-12-24T12:13:14.575164Z,Charlie
93,Cortado,Regular,4.78,2025-01-20T00:30:14.575164Z,Alice
94,Americano,Almond,3.63,2025-01-09T19:39:14.575164Z,Dana
95,Cortado,Regular,4.2,2025-01-08T04:49:14.575164Z,Dana
96,Latte,Regular,4.44,2024-12-25T20:01:14.575164Z,Charlie
97,Americano,Almond,2.93,2025-01-24T09:14:14.575164Z,Bob
98,Cortado,Oat,4.41,2024-11-28T00:07:14.575164Z,Charlie
99,Cortado,Regular,3.71,2025-01-15T10:04:14.575164Z,Charlie
100,Cortado,Oat,4.85,2025-01-01T13:32:14.575164Z,Alice
101,Cortado,Regular,4.18,2024-11-13T05:01:14.575164Z,Bob
102,Americano,Regular,2.71,2024-10-29T10:19:14.575164Z,Bob
103,Americano,Regular,3.72,2024-12-23T04:26:14.575164Z,Alice
